iter	Passed	Remaining
631	1057	615
632	1059	614
633	1060	612
634	1062	610
635	1064	609
636	1065	607
637	1066	605
638	1068	603
639	1069	601
640	1071	600
641	1072	598
642	1073	596
643	1075	594
644	1077	592
645	1078	591
646	1080	589
647	1082	587
648	1083	586
649	1085	584
650	1086	582
651	1087	580
652	1089	578
653	1091	577
654	1092	575
655	1093	573
656	1096	572
657	1097	570
658	1099	568
659	1100	566
660	1102	565
661	1103	563
662	1105	561
663	1106	559
664	1108	558
665	1110	556
666	1111	554
667	1112	553
668	1114	551
669	1115	549
670	1117	547
671	1118	546
672	1120	544
673	1122	542
674	1123	541
675	1125	539
676	1126	537
677	1128	536
678	1130	534
679	1131	532
680	1132	530
681	1134	529
682	1136	527
683	1137	525
684	1138	523
685	1140	521
686	1141	520
687	1143	518
688	1145	516
689	1146	515
690	1148	513
691	1150	511
692	1151	510
693	1153	508
694	1155	506
695	1156	505
696	1157	503
697	1159	501
698	1161	500
699	1162	498
700	1164	496
701	1165	494
702	1166	492
703	1168	491
704	1170	489
705	1171	487
706	1172	485
707	1174	484
708	1175	482
709	1177	480
710	1178	479
711	1180	477
712	1181	475
713	1183	473
714	1184	472
715	1186	470
716	1188	469
717	1190	467
718	1191	465
719	1192	463
720	1194	462
721	1196	460
722	1197	458
723	1198	457
724	1200	455
725	1202	453
726	1203	451
727	1204	450
728	1205	448
729	1207	446
730	1209	445
731	1210	443
732	1212	441
733	1213	439
734	1215	438
735	1217	436
736	1218	434
737	1220	433
738	1221	431
739	1223	429
740	1224	428
741	1226	426
742	1227	424
743	1229	422
744	1230	421
745	1231	419
746	1233	417
747	1235	416
748	1236	414
749	1238	412
750	1239	410
751	1241	409
752	1242	407
753	1244	405
754	1245	404
755	1247	402
756	1249	401
757	1250	399
758	1252	397
759	1254	396
760	1256	394
761	1258	392
762	1259	391
763	1261	389
764	1263	388
765	1265	386
766	1266	384
767	1267	383
768	1269	381
769	1270	379
770	1272	377
771	1273	376
772	1275	374
773	1276	372
774	1278	371
775	1279	369
776	1280	367
777	1282	365
778	1283	364
779	1285	362
780	1286	360
781	1288	359
782	1289	357
783	1291	355
784	1292	353
785	1293	352
786	1294	350
787	1296	348
788	1297	347
789	1299	345
790	1300	343
791	1301	341
792	1303	340
793	1304	338
794	1305	336
795	1307	335
796	1308	333
797	1309	331
798	1311	329
799	1312	328
800	1314	326
801	1315	324
802	1316	323
803	1318	321
804	1319	319
805	1320	317
806	1322	316
807	1323	314
808	1324	312
809	1326	311
810	1327	309
811	1328	307
812	1330	305
813	1331	304
814	1332	302
815	1334	300
816	1335	299
817	1336	297
818	1338	295
819	1339	294
820	1341	292
821	1342	290
822	1344	289
823	1345	287
824	1346	285
825	1348	284
826	1349	282
827	1350	280
828	1352	278
829	1353	277
830	1355	275
831	1356	273
832	1358	272
833	1359	270
834	1361	268
835	1362	267
836	1364	265
837	1365	263
838	1366	262
839	1368	260
840	1369	258
841	1370	257
842	1372	255
843	1373	253
844	1374	252
845	1376	250
846	1377	248
847	1379	247
848	1380	245
849	1382	243
850	1383	242
851	1385	240
852	1386	238
853	1388	237
854	1389	235
855	1390	233
856	1392	232
857	1393	230
858	1394	228
859	1396	227
860	1397	225
861	1399	223
862	1400	222
863	1402	220
864	1403	219
865	1404	217
866	1406	215
867	1407	214
868	1408	212
869	1410	210
870	1411	209
871	1412	207
872	1413	205
873	1415	204
874	1416	202
875	1418	200
876	1419	199
877	1421	197
878	1422	195
879	1423	194
880	1425	192
881	1426	190
882	1427	189
883	1429	187
884	1430	185
885	1431	184
886	1433	182
887	1434	180
888	1435	179
889	1437	177
890	1438	175
891	1439	174
892	1441	172
893	1443	171
894	1445	169
895	1446	167
896	1447	166
897	1449	164
898	1450	162
899	1451	161
900	1453	159
901	1454	158
902	1456	156
903	1457	154
904	1458	153
905	1460	151
906	1461	149
907	1462	148
908	1464	146
909	1465	144
910	1467	143
911	1468	141
912	1469	140
913	1471	138
914	1472	136
915	1474	135
916	1476	133
917	1477	131
918	1478	130
919	1480	128
920	1481	127
921	1482	125
922	1484	123
923	1485	122
924	1487	120
925	1488	118
926	1489	117
927	1491	115
928	1492	114
929	1494	112
930	1495	110
931	1497	109
932	1498	107
933	1499	105
934	1501	104
935	1502	102
936	1503	101
937	1505	99
938	1506	97
939	1507	96
940	1509	94
941	1510	93
942	1511	91
943	1513	89
944	1514	88
945	1516	86
946	1517	84
947	1519	83
948	1520	81
949	1521	80
950	1523	78
951	1524	76
952	1525	75
953	1527	73
954	1528	72
955	1529	70
956	1531	68
957	1532	67
958	1533	65
959	1534	63
960	1535	62
961	1537	60
962	1538	59
963	1540	57
964	1541	55
965	1543	54
966	1544	52
967	1546	51
968	1547	49
969	1548	47
970	1550	46
971	1551	44
972	1553	43
973	1554	41
974	1555	39
975	1557	38
976	1558	36
977	1559	35
978	1561	33
979	1562	31
980	1563	30
981	1565	28
982	1566	27
983	1567	25
984	1569	23
985	1570	22
986	1572	20
987	1573	19
988	1575	17
989	1576	15
990	1578	14
991	1579	12
992	1580	11
993	1582	9
994	1583	7
995	1585	6
996	1586	4
997	1587	3
998	1588	1
999	1590	0
